S.NO,ZONE ,DISTRICT,CLUSTER,SCHOOL NAME ,BOARD,STUDENT STRENGTH,PRIORITY,CORRESPONDENT/ PRINCIPAL,MOBILE NUMBERS,AREA,Procurement Month ,Lead Status,Last Visit,Next Follow-Up,Assigned Canvasser,Expected Order Value,Remarks
,,,,Anna Adarsh Matriculation Higher Secondary School,matric,,,,,near blue star bus stop,,,,,,,
,,,,S.B.O.A. Matriculation & Higher Secondary School,matric,,,,,c sector,,,,,,,
,,,,Velammal Matriculation Higher Secondary School,matric,,,,,anna nagar  ,,,,,,,
,,,Velachery,DAV Public School Velachery,cbse   ,,,,,velachery,,,,,,,
,,,,San Academy Velachery,cbse,,,,,velachery,,,,,,,
,,,,St. Britto’s Academy,cbse,,,,,nethaji nagar,,,,,,,
,,,,AGR Global School,cbse,,,,,vijaya nagar,,,,,,,
,,,,Sri Chaitanya Techno School,cbse,,,,,vaigai street,,,,,,,
,,,,DAVe Baba Vidyalaya Senior Secondary,cbse,,,,,vandikaran street ,,,,,,,
,,,,Guru Nanak Matriculation Higher Secondary School,matric,,,,,velanchery main rd,,,,,,,
,,,,Bethel Matriculation Higher Secondary School,matric,,,,,sarathi nagar,,,,,,,
,,,,David Matriculation Higher Secondary School,matric,,,,,ayodhya colony,,,,,,,
,,,,St. Francis Savio Matriculation Higher Secondary School,matric,,,,,dhandeeshwara nagar,,,,,,,
,,,,Siva Sakthi Matriculation School,matric,,,,,lakshmi puram,,,,,,,
,,,,Mount Carmel Matriculation School,matric,,,,,soni nagar,,,,,,,
,,,,A.G.M. Higher Secondary School,matric,,,,,vijaya nagar,,,,,,,
,,,,ORCHIDS The International School,icse,,,,,tansi nagar,,,,,,,
,,,,London Montessori International School,igcse,,,,,MGR nagar,,,,,,,
,,,,Ponvidyashram Group of Senior Secondary Schools,cbse,,,,,sambandhar street,,,,,,,
,,,,Sunshine Chennai Senior Secondary School,cbse   ,,,,,AGS colony,,,,,,,
,,,Tambaram,Zion International Public School,cbse,,,,,tambaram,,,,,,,
,,,,Christ King Matriculation Higher Secondary School,matric,,,,,tambaram,,,,,,,
,,,,Velammal Vidyalaya,cbse,,,,,thambaram  ,,,,,,,
,,,,Shree Niketan Patasala,cbse,,,,,west thambaram,,,,,,,
,,,,Sitadevi Garodia Hindu Vidyalaya,cbse,,,,,east thambaram,,,,,,,
,,,,Alwin Memorial Public School,cbse,,,,,Selaiyur,,,,,,,
,,,,Sreevatsa Viswanathan Vivekananda Vidyalaya,cbse,,,,,east thambaram,,,,,,,
,,,,Vels Global School,cbse,,,,,thambaram  ,,,,,,,
,,,,Narayana e-Techno School,cbse   ,,,,,west thambaram,,,,,,,
,,,,St. John's School of Excellence,cbse,,,,,Tambaram Sanatorium,,,,,,,
,,,,Sri Chaitanya Techno School,cbse   ,,,,,Tambaram Sanatorium,,,,,,,
,,,,Christwood School,icse,,,,,thambaram suburb,,,,,,,
,,,,Good Earth School,icse,,,,,thambaram west,,,,,,,
,,,,Grace International School,icse,,,,,Chitlapakkam,,,,,,,
,,,,Zion Matriculation Higher Secondary School,matric,,,,,Ranganatha Nagar,,,,,,,
,,,,MCC Campus Matriculation Higher Secondary School,matric,,,,,air force station rd,,,,,,,
,,,,Sairam Matriculation Higher Secondary School,matric,,,,,west thambaram,,,,,,,
,,,,Sir & Lady M. Venkatasubba Rao Matriculation School,matric,,,,,west thambaram,,,,,,,
,,,,Shri Anand Jain Vidyalaya Matric School,matric,,,,,west thambaram,,,,,,,
,,,,Sri Ramakrishna Matric Higher Secondary School,matric,,,,,west thambaram,,,,,,,
,,,,Annai Violet Matriculation & Higher Secondary School,matric,,,,,Chitlapakkam,,,,,,,
,,,,Indian Matriculation Higher Secondary School,matric,,,,,Chromepet,,,,,,,
,,,Porur,PSBB Millennium School,cbse,,,,,porur,,,,,,,
,,,,The Schram Academy,cbse   ,,,,,porur,,,,,,,
,,,,Alpha School CBSE,cbse,,,,,Mugalivakkam,,,,,,,
,,,,Swamy's School,cbse   ,,,,,om shakthi nagar,,,,,,,
,,,,Narayana Olympiad School,cbse,,,,,Govindappa Nagar,,,,,,,
,,,,Arulmigu Meenakshi Amman PS,cbse,,,,,Kundrathur Main Rd,,,,,,,
,,,,Narayana e-Techno School,cbse   ,,,,,Sri Krishna Nagar,,,,,,,
,,,,Achariya Siksha Mandir,cbse   ,,,,,Sapthagiri Nagar,,,,,,,
,,,,Pon Vidyashram School,cbse   ,,,,,alapakkam main rd,,,,,,,
,,,,Devi Academy Sr. Sec. School,cbse   ,,,,,AV garden,,,,,,,
,,,,Velammal Bodhi Campus,cbse   ,,,,,Parvathi Ave,,,,,,,
,,,,Anand Singapore Int. School,icse,,,,,anna main rd,,,,,,,
,,,,St. Francis Int. School,icse,,,,,Thirumurugan Nagar,,,,,,,
,,,,St. John's Matric HSS,matric,,,,,lakshmi nagar,,,,,,,
,,,,MKM Higher Secondary School,matric,,,,,Mugalivakkam,,,,,,,
,,,,Grace Matriculation HSS,matric,,,,,Karambakkam,,,,,,,
,,,,St. Joseph Matric HSS,matric,,,,,porur,,,,,,,
,,,,St. Mary’s Matric HSS,matric,,,,,vigneshwara ngr,,,,,,,
,,,,Kalashetra Matric School,matric,,,,,Ayyappanthangal,,,,,,,
,,,,St. Pauls Matric HSS,matric,,,,,Karambakkam,,,,,,,
,,,,Rajiv School Of Excellence,matric,,,,,alapakkam,,,,,,,
,,,Ambattur,Velammal Vidhyashram,cbse,,,,,Lenin Nagar,,,,,,,
,,,,Nathella Vidhyodaya,cbse   ,,,,,ambattur,,,,,,,
,,,,Annai Violet International School,cbse,,,,,pudur,,,,,,,
,,,,Ebenezer Marcus International School,cbse   ,,,,,ambattur,,,,,,,
,,,,Annai Violet International School,cbse,,,,,west ambatthur,,,,,,,
,,,,PGS CBSE School,cbse,,,,,Venkatapuram,,,,,,,
,,,,Dr. Mehta's International Smart School,cbse   ,,,,,athipet,,,,,,,
,,,,The Indian Public School (TIPS),icse,,,,,Vanchi Nagar,,,,,,,
,,,,Birla Open Minds International School,icse,,,,,Udayar Palayam Nagar,,,,,,,
,,,,Hussain Memorial Matriculation Higher Secondary School,matric,,,,,manthoppu nagar,,,,,,,
,,,,St. Joseph's Matriculation Higher Secondary School,matric,,,,,West Krishnapuram,,,,,,,
,,,,Sethu Bhaskara Matriculation Higher Secondary School,matric,,,,,ambattur,,,,,,,
,,,,Sacred Heart Matriculation Higher Secondary School,matric,,,,,core ambattur,,,,,,,
,,,,Samuel Harris Matriculation Higher Secondary School,matric,,,,,ambattur,,,,,,,
,,,,St. Theresa's Matriculation Higher Secondary School,matric,,,,,Mannurpet,,,,,,,
,,,,Amutha Matriculation Higher Secondary School,matric,,,,,ambattur,,,,,,,
,,,OMR / Sholinganallur,Babaji Vidhyashram Senior Secondary School,cbse   ,,,,,Sholinganallur,,,,,,,
,,,,Velammal New Gen School,cbse,,,,,Rajiv Gandhi Salai (OMR),,,,,,,
,,,,Ramana Vidyalaya,cbse   ,,,,,mgr road,,,,,,,
,,,,Narayana eTechno School,cbse   ,,,,,new kumaran nagar,,,,,,,
,,,,Adhithya Public School,cbse   ,,,,,Marutham Nagar,,,,,,,
,,,,PSBB Millennium School OMR,cbse   ,,,,,DLF garden city road,,,,,,,
,,,,Campus K International School,igcse,,,,,KTK town,,,,,,,
,,,,JS Global School,igcse,,,,,lake road,,,,,,,
,,,,International Village School,ib,,,,,classic farm avenue road,,,,,,,
,,,,Gateway The Complete School,igcse,,,,,Rajiv Gandhi Salai (OMR),,,,,,,
,,,,Ellen Sharma Memorial Matriculation Higher Secondary School,matric,,,,,TNHB,,,,,,,
,,,,Sacred Heart Matriculation Higher Secondary School,matric,,,,,devaraj nagar,,,,,,,
,,,,Hiranandani Upscale School,cbse   ,,,,,Sholinganallur,,,,,,,
,,,Perambur,The Shri Ram Universal School,cbse   ,,,,,new farrance road,,,,,,,
,,,,Sri Bala Vidyalaya,cbse   ,,,,,santhi nagar,,,,,,,
,,,,Everwin Vidhyashram,cbse   ,,,,,santhi nagar,,,,,,,
,,,,ORCHIDS The International School,cbse   ,,,,,puliyamthopu,,,,,,,
,,,,KRM public school,cbse   ,,,,,shanthi nagar,,,,,,,
,,,,Olive Tree International School,cbse   ,,,,,erukancherry,,,,,,,
,,,,St. Joseph's Anglo-Indian Higher Secondary School,matric,,,,,jagganathan colony,,,,,,,
,,,,PERIYAR ACADEMY CBSE SCHOOL,cbse   ,,,,,periyar nagar west,,,,,,,
,,,,Narayana eTechno (CBSE) School ,cbse   ,,,,,MR nagar,,,,,,,
,,,,St.Mary's Matric. Girls Hr. Sec. School,matric,,,,,jamliya nagar,,,,,,,
,,,Mogappair,Dawn School,cbse,,,,,nolambur,,,,,,,
,,,,D.A.V. Girls Senior Secondary School,cbse   ,,,,,JJ nagar,,,,,,,
,,,,Chennai Public School,cbse   ,,,,,TVS avenue,,,,,,,
,,,,Mar Gregorios Public School,cbse   ,,,,,panner nagar,,,,,,,
,,,,Velammal Vidyalaya,cbse   ,,,,,mogappair west,,,,,,,
,,,,Green Valley Central School,cbse   ,,,,,mogappair  ,,,,,,,
,,,,Vels Global School,cbse   ,,,,,mogappair,,,,,,,
,,,,The Schram Academy,cbse   ,,,,,mogappair,,,,,,,
,,,,Spartan Matriculation Higher Secondary School,matric,,,,,JJ nagar,,,,,,,
,,,,DAV Matriculation Higher Secondary School,matric,,,,,JJ nagar,,,,,,,
,,,,Velammal Matriculation Higher Secondary School,matric,,,,,block no 7,,,,,,,
,,,,St. John's Matriculation Higher Secondary School,matric,,,,,mogappair west,,,,,,,
,,,,Shamrock Matriculation Higher Secondary School,matric,,,,,mogappair west,,,,,,,
,,,,Amutha Matric Higher Secondary School,matric,,,,,mogappair west,,,,,,,
,,,,Bharathi Vidhyalaya Matriculation Higher Secondary School,matric,,,,,mogappair,,,,,,,
,,,,St. Thresa's Matriculation Higher Secondary School,matric,,,,,mogappair west,,,,,,,
,,,,Orchids The International School,icse,,,,,mogappair,,,,,,,
,,,,Aadhithya International Public School,icse,,,,,mogappair west,,,,,,,
,,,,VAELS Ravindra Bharathi Global School,icse,,,,,JJ nagar,,,,,,,
,,,Koyambedu,Narayana e-Techno School,cbse   ,,,,,avvai thiru nagar,,,,,,,
,,,,VAELS Ravindra Bharathi Global School,cbse   ,,,,,pallavan nagar,,,,,,,
,,,,St. Thomas Academy Senior Secondary CBSE School,cbse   ,,,,,koyambedu,,,,,,,
,,,,Chinmaya Vidyalaya Higher Secondary School,cbse   ,,,,,natesan nagar,,,,,,,
,,,,Dayasadan Agarwal Vidyalaya,cbse   ,,,,,nerkundram,,,,,,,
,,,,Daniel Thomas Matriculation Higher Secondary School,matric,,,,,sathya sai nagar,,,,,,,
,,,,Sri Devi Matriculation School,matric,,,,,krishna nagar,,,,,,,
,,,,Sre Sasstha Matriculation Higher Secondary School,matric,,,,,iyyapa nagar,,,,,,,
,,,,Mohamad Sathak Matriculation and Higher Secondary School,matric,,,,,MMDA colony main rd,,,,,,,
,,,,M.R. Matriculation Higher Secondary School,matric,,,,,koyambedu,,,,,,,
,,,,SV High Cambridge International School,icse,,,,,vinayagapuram 3rd street,,,,,,,
,,,,Apple Valley Special School,special education,,,,,koyambedu,,,,,,,
,,,Avadi,VGN Chinmaya Vidyalaya,cbse,,,,,kamaraj nagar,,,,,,,
,,,,Velammal Vidyalaya,cbse   ,,,,,avadi hg rd,,,,,,,
,,,,Jaigopal Garodia Vivekananda Vidyalaya,cbse   ,,,,,TNHB layout,,,,,,,
,,,,Maharshi Vidya Mandir,cbse   ,,,,,avadi   ,,,,,,,
,,,,The Nazareth Academy,cbse   ,,,,,avadi   ,,,,,,,
,,,,Marian School of Excellence,cbse   ,,,,,IAF road,,,,,,,
,,,,Mahalashmi Vidhya Mandhir,cbse   ,,,,,avadi   ,,,,,,,
,,,,ABS Global Smart School,cbse   ,,,,,avadi,,,,,,,
,,,,Great Harvest Vidyalaya,cbse   ,,,,,bharathi nagar,,,,,,,
,,,,Nazareth Matriculation Higher Secondary School,matric,,,,,patel street west,,,,,,,
,,,,Sri S.B. Vijaya Reddiar Matriculation Higher Secondary School,matric,,,,,avadi   ,,,,,,,
,,,,Shri M.A. Krishnaswamy Matriculation Higher Secondary School,matric,,,,,avadi,,,,,,,
,,,,St. Joseph's Matriculation School,matric,,,,,avadi   ,,,,,,,
,,,,St. Paul Matriculation School,matric,,,,,avadi,,,,,,,
,,,,Immanuel Matriculation Higher Secondary School,matric,,,,,avadi   ,,,,,,,
,,,,Dove Matric Higher Secondary School,matric,,,,,avadi,,,,,,,
,,,,Thangamani Matriculation Higher Secondary School,matric,,,,,avadi,,,,,,,
,,,,Sudharssanam Paatashala International School,icse,,,,,thiruverkadu,,,,,,,
,,,,Vriksha Montessori,preschool,,,,,avadi   ,,,,,,,
,,,Poonamallee,Chennai Public School,cbse,,,,,TH road,,,,,,,
,,,,Velammal Vidyalaya,cbse   ,,,,,poonamalle to avadi hg way,,,,,,,
,,,,The Schram Academy,cbse   ,,,,,poonamlle    ,,,,,,,
,,,,Amrita Vidyalayam,cbse   ,,,,,jiamall nagar,,,,,,,
,,,,St. John's International Residential School,cbse   ,,,,,poonamalle   ,,,,,,,
,,,,Sree Narayana Mission Senior Secondary School,cbse   ,,,,,imperial gardens,,,,,,,
,,,,Sree Narayana Mission Senior Secondary School,cbse   ,,,,,mangadu rd,,,,,,,
,,,,Saveetha Amravathi International School,cbse   ,,,,,poonamallee ,,,,,,,
,,,,Narayana e-Techno School,cbse,,,,,poonamalle   ,,,,,,,
,,,,The Little Kingdom International School,icse,,,,,trunk road,,,,,,,
,,,,Hebron Castle International School,icse,,,,,poonamalle   ,,,,,,,
,,,,Daniel Thomas Matriculation Higher Secondary School,matric,,,,,poonamalle   ,,,,,,,
,,,,St. Mary's Matriculation Higher Secondary School,matric,,,,,poonamalle   ,,,,,,,
,,,,S.A. Matriculation Higher Secondary School,matric,,,,,poonamalle   ,,,,,,,
,,,,Jayagovind Harigopal Agarwal Agarchand Matriculation School,matric,,,,,poonamalle   ,,,,,,,
,,,,Sarojini Varadappan Girls Matriculation School,matric,,,,,trunk road,,,,,,,
,,,,Christ King Matriculation Higher Secondary School,matric,,,,,poonamalle   ,,,,,,,
,,,,Arignar Anna Matriculation Higher Secondary School,matric,,,,,rukmani nagar,,,,,,,
,,,,St. Joseph's Matriculation Higher Secondary School,matric,,,,,trunk road,,,,,,,
,,,Thiruvanmiyur,The Hindu Senior Secondary School,cbse   ,,,,,indhira nagar,,,,,,,
,,,,Sri Sankara Senior Secondary School,cbse,,,,,adyar border,,,,,,,
,,,,Sishya School,cbse,,,,,valmiki nagar,,,,,,,
,,,,Dr. C.L. Metha CBSE School,cbse,,,,,ECR main road,,,,,,,
,,,,Lalaji Memorial Omega International School,cbse,,,,,thiruvanmiyur,,,,,,,
,,,,St. John's Matriculation Higher Secondary School,matric,,,,,south mada street ,,,,,,,
,,,,St. Kevin's Matriculation Higher Secondary School,matric,,,,,kamaraj salai,,,,,,,
,,,,Kamraj Matriculation Higher Secondary School,matric,,,,,thiruvanmiyur,,,,,,,
,,,,Sri Venkataramana Matriculation School,matric,,,,,rukmani road,,,,,,,
,,,,The School - KFI (Krishnamurti Foundation India),icse,,,,,besanth nagar border,,,,,,,
,,,,The British International School,igcse,,,,,thiruvanmiyur,,,,,,,
,,,Perungudi,BVM Global Perungudi,cbse   ,,,,,seevaram,,,,,,,
,,,,BVM Global (KG & Primary Block),cbse   ,,,,,rajiv nagar,,,,,,,
,,,,Sangford Schools,cbse   ,,,,,CBI colony,,,,,,,
,,,,Sri Chaitanya Techno School,cbse   ,,,,,perungudi,,,,,,,
,,,,Thiruvalluvar Vidhyashram CBSE School,cbse   ,,,,,sri kumaran  nagar,,,,,,,
,,,,The Indian Public School,cbse   ,,,,,industrial estate ,,,,,,,
,,,,Al-Fajr International School,CBSE / IGCSE,,,,,Nehru Nagar 2nd Main Road,,,,,,,
,,,,Montfort Matriculation School,Matriculation (State Board),,,,,"Rajalakshmi Ave Main Road, Phase-1",,,,,,,
,,,,St. Pius X Matriculation Higher Sec School,Matriculation (State Board),,,,,"Church Main Road, Kandhanchavadi",,,,,,,
,,,,Bharath Dass Matriculation Higher Secondary School,Matriculation (State Board),,,,,"1st Main Road, Tirumalai Nagar",,,,,,,
,,,,Abacus Montessori School,Montessori / International Link,,,,,Thirumalai Nagar Annexe,,,,,,,
,,,,Sri Sankara Global Academy,Cambridge / IGCSE,,,,,"11th Cross Street, Phase-1, Telephone Nagar",,,,,,,
,,,,Seed Academy,IGCSE / Cambridge,,,,,"Bethel Nagar Street, Industrial Estate",,,,,,,
,,,,American World School,International (US Curriculum),,,,,"Nehru Nagar, Rajiv Gandhi Salai (OMR)",,,,,,,
,,,Chromepet,Srimathi Sundaravalli Memorial School (SSM),CBSE,,,,,Ponnappa Nagar,,,,,,,
,,,,Smt. Ramkuwar Devi Fomra Vivekananda Vidyalaya,CBSE,,,,,Nagappa Nagar,,,,,,,
,,,,Shikshaa Public School,CBSE,,,,,New Colony / Ponniamman Koil,,,,,,,
,,,,Sri Sathya Sai Institute of Educare,CBSE,,,,,Fathima Nagar,,,,,,,
,,,,Sri Chaitanya Techno School,CBSE,,,,,CLC Works Road,,,,,,,
,,,,Shree Gugans School,CBSE,,,,,Radha Nagar,,,,,,,
,,,,NSN Matriculation Higher Secondary School,Matriculation (State Board),,,,,Chitlapakkam Main Road,,,,,,,
,,,,St. Paul's Matriculation Higher Secondary School,Matriculation (State Board),,,,,Park Street,,,,,,,
,,,,Holy Queen Matriculation Higher Secondary School,Matriculation (State Board),,,,,Radha Nagar Main Road,,,,,,,
,,,,SCS Matriculation Higher Secondary School,Matriculation (State Board),,,,,Lakshmipuram,,,,,,,
,,,,Rosily Matriculation Higher Secondary School,Matriculation (State Board),,,,,"Station Road, Nehru Nagar",,,,,,,
,,,,Hilton Matriculation Higher Secondary School,Matriculation (State Board),,,,,Chromepet Local,,,,,,,
,,,,Kavitha Matriculation Higher Secondary School,Matriculation (State Board),,,,,Kumarapuram,,,,,,,
,,,,GGN International School,Cambridge / IGCSE,,,,,radha nagar   ,,,,,,,
,,,Pallavaram,Vels Vidyashram,CBSE,,,,,"PV Vaithiyalingam Road, Pallavaram",,,,,,,
,,,,Sri Chaitanya Techno School,CBSE,,,,,"Mariamman Koil Street, Pallavaram",,,,,,,
,,,,Narayana e-Techno School,CBSE,,,,,"Old Trunk Road, Pallavaram",,,,,,,
,,,,Cantonment Public School,CBSE,,,,,St. Thomas Mount / Pallavaram Border,,,,,,,
,,,,Holy Cross Matriculation Higher Secondary School,Matriculation (State Board),,,,,"Cantonment, Old Pallavaram",,,,,,,
,,,,St. Theresa's Girls Higher Secondary School,Matriculation (State Board),,,,,"Church Road, Pallavaram",,,,,,,
,,,,St. Sebastian's Matriculation Higher Secondary School,Matriculation (State Board),,,,,"Station Road, Pallavaram",,,,,,,
,,,,Nadasi Alamelu Ammal Matriculation School,Matriculation (State Board),,,,,Issa Pallavaram,,,,,,,
,,,,Anantha Matriculation Higher Secondary School,Matriculation (State Board),,,,,Zamin Pallavaram,,,,,,,
,,,,Sri Sankara Vidyalaya Matriculation School,Matriculation (State Board),,,,,Pammal Main Road (Pallavaram Link),,,,,,,
,,,,Vels Global School,Cambridge / IGCSE,,,,,"Dargah Road, Pallavaram",,,,,,,
,,,Egmore,Don Bosco School of Excellence,CBSE,,,,,"Pantheon Road, Egmore",,,,,,,
,,,,Sana Nursery & Primary School,CBSE,,,,,"Varadarajulu Street, Egmore",,,,,,,
,,,,Don Bosco Matriculation Higher Secondary School,Matriculation (State Board),,,,,"Casa Major Road, Egmore",,,,,,,
,,,,Sivakasi Hindu Nadar Matriculation Higher Sec. School,Matriculation (State Board),,,,,"Aravamudhan Garden Street, Egmore",,,,,,,
,,,,Beta Matriculation Higher Secondary School,Matriculation (State Board),,,,,Egmore Local,,,,,,,
,,,,Kalaipoonga Matriculation School,Matriculation (State Board),,,,,Egmore Local,,,,,,,
,,,,St. Anthony's Anglo-Indian High School,State Board (Anglo-Indian),,,,,"Rukmani Lakshmipathi Road, Egmore",,,,,,,
,,,,Grove School,ICSE,,,,,Eldams Road / Alwarpet (Egmore Zone Link),,,,,,,
,,,Anna salai,Asan Memorial Senior Secondary School,CBSE,,,,,"Anderson Road, Thousand Lights (Off Anna Salai)",,,,,,,
,,,,P.N.D Adarsh Vidyalaya Senior Secondary School,CBSE,,,,,"Peter's Road, Royapettah (Anna Salai Link)",,,,,,,
